-14,6,20,-16,8,13,36,11,15,31,26,56
-4,15,20,-10,-4,18,40,12,17,31,29,60
11,27,19,-4,-18,23,43,15,18,35,34,67
11,28,19,-4,-15,22,46,15,19,35,36,70
9,24,15,-2,-16,20,50,14,17,36,39,72
9,21,13,-2,-12,19,52,16,17,36,39,73
7,18,11,-1,-10,15,53,13,14,35,39,72
9,21,12,-1,-13,15,50,12,13,30,34,66
8,19,11,0,-13,16,44,12,11,28,26,62
-1,16,18,-9,-5,17,44,12,12,27,27,59
-17,10,27,-22,5,20,43,12,13,26,25,61
-14,9,24,-18,4,17,41,10,14,26,24,59
-11,9,21,-15,1,16,42,8,10,25,22,58
-9,15,23,-16,-2,18,43,10,13,26,23,60
-4,19,23,-14,-6,22,46,9,14,27,25,59
-4,26,32,-16,-8,29,51,12,19,29,26,60
-4,32,36,-21,-13,34,54,15,20,31,26,60
1,29,32,-14,-13,30,52,12,18,28,23,58
5,27,22,-9,-13,26,45,12,16,25,23,55
-1,24,27,-13,-10,27,44,10,14,22,20,51
-8,23,32,-21,-6,27,43,9,17,21,21,49
-5,25,30,-17,-8,27,43,11,16,20,21,49
1,27,28,-13,-12,30,45,13,15,20,19,50
-3,30,31,-16,-10,29,46,16,18,22,19,52
-3,31,33,-18,-11,34,46,14,20,22,21,55
-6,32,38,-22,-10,34,49,18,23,25,23,57
-8,30,40,-24,-9,37,46,18,26,27,30,58
-7,28,35,-22,-8,31,48,17,25,26,27,57
-6,28,33,-19,-9,30,46,18,22,24,25,56
5,30,22,-9,-16,26,46,16,21,23,25,54
18,30,15,3,-24,23,44,15,19,23,25,53
8,31,23,-7,-18,27,45,17,22,25,26,55
7,31,26,-9,-17,28,45,18,23,26,26,56
2,31,29,-14,-14,30,46,20,24,28,27,57
-1,31,33,-17,-13,31,46,21,25,29,27,59
-2,32,35,-18,-13,33,47,22,26,32,28,60
-1,34,36,-18,-16,35,48,24,27,33,29,62
2,38,37,-16,-19,37,49,26,30,35,30,64
6,41,36,-14,-23,39,50,28,33,37,33,67
10,45,36,-12,-26,40,50,30,35,39,35,68
12,47,35,-11,-28,41,50,32,37,42,38,70
13,48,35,-10,-29,41,50,33,38,44,40,72
13,48,35,-10,-30,41,50,34,39,47,43,75
13,49,36,-11,-30,42,51,35,40,50,46,77
13,50,37,-11,-31,44,53,36,41,53,48,80
14,54,40,-12,-33,47,55,37,42,56,51,83
15,57,41,-12,-36,50,57,39,44,58,53,85
16,58,42,-12,-37,50,57,39,44,59,55,86
17,58,42,-12,-37,50,57,38,44,58,55,86
17,58,42,-12,-37,50,56,38,43,58,55,85
18,60,42,-12,-38,51,56,39,42,57,55,84
19,63,44,-12,-40,53,56,40,43,58,56,84
21,66,45,-12,-42,56,55,42,45,59,58,84
22,67,46,-11,-43,57,55,44,47,61,60,85
22,68,47,-12,-44,57,54,45,49,63,62,86
22,68,46,-12,-43,57,54,45,50,64,62,87
21,67,46,-12,-43,57,53,46,51,64,62,88
21,67,46,-13,-42,57,53,46,51,64,62,88
21,67,47,-13,-42,57,52,46,51,64,63,88
21,68,48,-13,-42,58,52,46,51,64,64,87
21,69,49,-14,-43,59,52,46,51,65,66,88
21,70,48,-13,-44,59,52,46,51,65,67,88
24,70,46,-10,-45,58,52,45,50,65,67,89
26,70,43,-7,-46,57,52,43,48,64,67,89
28,69,42,-6,-46,56,51,42,47,63,67,88
26,68,43,-8,-45,56,50,43,47,62,67,88
23,67,44,-10,-43,56,50,43,47,62,66,87
20,65,46,-13,-41,56,49,42,46,61,65,86
18,63,46,-14,-39,54,48,40,45,59,64,85
18,62,45,-14,-38,53,47,39,44,58,63,83
19,61,43,-12,-38,52,47,37,42,56,62,82
20,59,41,-10,-38,50,46,36,41,56,60,81
19,58,40,-10,-37,50,46,35,40,55,59,80
17,57,40,-11,-35,50,45,34,38,55,58,79
16,57,41,-11,-35,50,45,34,38,55,58,79
18,58,40,-10,-36,49,45,33,37,54,57,78
20,59,39,-8,-38,49,45,32,37,54,57,77
23,59,36,-6,-40,47,45,32,36,53,56,76
25,60,34,-4,-41,47,44,31,36,52,56,75
26,61,34,-4,-42,47,44,31,35,51,55,74
26,61,36,-4,-42,49,44,32,35,51,55,73
24,62,40,-7,-41,51,44,32,35,51,54,72
21,61,42,-10,-39,51,43,32,35,50,52,71
18,59,42,-12,-37,50,41,32,35,49,51,70
15,56,42,-14,-34,49,40,32,35,48,49,69
12,54,43,-15,-32,49,39,32,34,47,48,68
9,53,44,-17,-30,49,38,31,34,46,47,67
7,53,46,-18,-29,49,37,31,34,47,47,66
8,54,45,-17,-30,50,36,30,34,47,47,65
10,54,44,-15,-32,48,34,29,34,47,46,64
12,53,41,-13,-32,46,30,27,32,45,44,62
13,50,37,-11,-31,43,27,25,30,43,41,59
14,47,34,-9,-29,40,24,23,27,40,39,56
14,44,31,-8,-28,38,23,24,26,38,38,54
13,42,29,-8,-26,36,23,24,25,37,38,53
12,40,28,-9,-25,34,23,24,25,37,38,53
10,38,28,-10,-23,33,25,25,25,37,38,53
10,36,28,-9,-22,32,26,25,25,37,38,53
10,36,28,-9,-22,32,27,25,24,36,38,53
12,37,28,-8,-23,33,28,26,25,37,38,54
12,39,29,-9,-24,35,30,28,27,38,40,56
12,43,32,-11,-26,38,35,31,30,40,43,58
15,49,35,-11,-31,42,39,34,34,43,47,61
20,57,38,-10,-37,47,43,38,38,46,51,64
25,64,39,-8,-44,51,46,40,41,49,54,67
29,69,40,-7,-48,54,48,40,43,51,55,69
31,72,42,-6,-51,57,50,41,44,53,55,70
32,76,45,-7,-53,61,52,42,45,54,55,71
32,81,50,-9,-55,66,55,44,46,55,56,72
33,87,56,-12,-59,71,58,46,48,57,57,73
34,95,62,-14,-64,78,63,49,51,59,59,74
36,102,66,-16,-68,84,68,53,54,62,61,76
36,108,71,-18,-71,89,72,57,58,64,63,78
36,112,75,-20,-73,93,74,59,60,66,65,79
37,115,78,-21,-75,96,75,60,61,66,66,80
39,117,79,-20,-77,98,74,60,61,65,66,80
40,120,79,-20,-79,99,74,60,60,65,66,80
41,121,80,-20,-80,101,74,61,60,65,67,80
41,122,80,-19,-80,101,73,62,60,65,67,79
41,121,79,-19,-80,100,73,61,60,65,67,80
41,120,79,-19,-79,100,73,59,60,65,66,81
40,120,80,-20,-78,100,73,58,61,65,66,83
39,121,81,-21,-78,102,73,57,61,66,67,86
41,124,83,-21,-81,103,73,57,61,68,68,88
45,127,84,-18,-85,106,72,58,62,71,70,91
51,132,83,-16,-91,108,70,60,64,74,73,95
56,138,83,-13,-96,111,67,62,66,78,76,98
60,143,82,-12,-101,114,65,63,67,80,79,101
63,148,84,-11,-105,117,62,65,69,83,83,104
67,153,86,-10,-109,120,59,67,71,85,86,106
70,157,87,-9,-112,122,55,68,72,88,89,107
72,160,88,-8,-115,123,51,68,73,89,89,108
73,161,88,-8,-116,124,47,67,72,89,89,108
74,161,87,-6,-117,124,44,66,71,88,87,107
76,162,87,-6,-118,125,41,64,69,87,85,105
77,164,87,-5,-119,125,38,62,67,85,84,104
77,164,87,-5,-119,124,35,60,65,84,82,102
76,162,86,-5,-118,123,32,58,63,82,81,101
74,158,85,-5,-115,120,29,56,60,80,79,98
75,155,81,-3,-114,117,28,54,58,77,78,96
78,152,75,1,-114,113,25,53,57,76,78,94
82,149,68,7,-114,108,23,51,56,74,77,92
85,143,59,13,-113,101,20,50,54,74,76,90
85,135,51,17,-109,92,18,48,52,71,74,87
81,124,43,19,-102,83,16,47,50,69,71,83
77,113,36,20,-94,74,14,46,48,66,68,79
73,102,29,22,-86,65,12,44,45,62,65,75
69,92,24,23,-79,57,11,42,43,59,62,70
64,83,20,22,-72,51,11,40,40,55,58,66
57,75,19,20,-64,46,12,38,38,51,54,61
48,66,18,15,-56,41,13,35,34,47,50,57
39,56,17,12,-47,37,13,31,30,42,45,52
31,47,16,8,-38,32,13,25,25,37,40,47
24,39,15,5,-31,27,11,20,20,31,35,42
20,33,14,4,-26,23,10,16,15,26,29,37
17,29,12,2,-22,21,8,13,11,21,24,32
14,25,10,2,-19,18,6,9,7,17,20,27
11,20,8,1,-15,13,3,6,3,13,16,23
8,14,6,1,-11,9,1,3,1,10,12,17
4,9,4,0,-7,6,0,2,-1,6,9,13
1,4,3,-1,-3,3,-2,0,-2,4,6,10
1,2,2,-1,-1,2,-2,-1,-3,3,4,8
2,3,2,-1,-2,3,-2,-1,-2,3,4,7
5,7,3,1,-6,6,-1,0,-1,4,5,7
8,12,5,2,-10,8,0,1,0,4,6,8
11,16,6,3,-13,11,2,2,1,5,7,9
14,20,6,3,-16,13,3,3,2,6,8,10
16,22,7,4,-18,14,3,3,2,6,9,10
17,23,7,4,-19,15,3,3,3,6,9,10
16,22,7,4,-19,15,2,3,2,6,8,9
14,21,9,3,-17,15,2,2,1,6,8,8
11,19,10,1,-15,14,1,1,0,6,7,6
8,16,8,0,-12,12,0,-1,-2,5,5,5
5,12,7,-1,-9,10,-2,-3,-4,3,3,3
2,8,5,-2,-5,7,-4,-5,-5,1,1,1
-1,3,4,-3,-1,4,-5,-6,-6,0,0,0
-3,0,3,-3,2,2,-5,-6,-5,-1,-1,0
-1,-2,1,-1,2,1,-2,-4,-4,0,-1,0
0,0,0,0,0,0,0,0,0,0,0,0
3,3,-1,2,-3,1,4,6,5,1,1,2
7,3,-3,4,-5,0,8,12,11,2,2,4
8,5,-4,5,-6,1,12,21,19,4,4,7
12,5,-5,7,-8,1,17,29,26,1,2,7
6,16,8,0,-11,11,24,48,44,15,16,17
2,26,23,-11,-14,25,32,70,64,31,35,34
22,55,32,-5,-37,43,31,94,90,58,66,62
47,86,40,3,-67,64,28,126,117,90,100,99
74,115,39,17,-93,77,16,158,149,136,149,149
105,145,39,32,-125,93,1,195,180,189,205,208
152,174,21,66,-163,97,-20,211,198,240,259,278
205,203,-3,104,-205,101,-44,226,212,298,318,356
275,256,-20,146,-265,118,-67,248,230,364,389,448
350,312,-38,195,-330,138,-90,270,246,435,464,550
417,394,-24,218,-406,186,-109,293,266,525,554,663
485,483,-1,243,-483,240,-129,316,284,615,644,783
533,571,37,249,-554,305,-141,326,295,699,727,907
581,669,85,246,-625,378,-153,331,302,786,812,1026
596,686,89,253,-640,389,-158,318,288,822,835,1053
598,696,98,250,-648,396,-159,299,271,849,852,1065
567,679,111,226,-622,396,-146,249,227,790,784,985
518,644,126,195,-582,385,-131,189,174,712,692,875
442,601,160,142,-521,381,-118,110,103,598,573,751
349,533,185,81,-441,360,-103,14,17,454,427,595
261,442,178,41,-352,309,-93,-73,-68,314,280,443
169,331,163,4,-249,247,-86,-172,-163,151,114,269
100,245,143,-22,-172,194,-74,-226,-220,30,1,139
36,165,130,-47,-101,147,-65,-275,-271,-89,-109,19
-12,123,134,-73,-54,130,-51,-299,-294,-160,-173,-55
-48,101,150,-99,-27,125,-38,-305,-304,-203,-210,-95
-65,96,160,-114,-14,129,-32,-296,-299,-217,-221,-106
-70,103,172,-121,-17,136,-28,-272,-276,-204,-200,-94
-58,114,173,-116,-28,143,-28,-235,-239,-172,-165,-69
-41,125,166,-105,-43,147,-28,-191,-194,-131,-118,-44
-35,114,147,-92,-40,129,-29,-150,-156,-95,-83,-30
-28,92,121,-74,-32,106,-32,-114,-119,-68,-61,-29
-26,79,106,-66,-27,91,-23,-93,-97,-55,-53,-36
-28,64,90,-61,-18,78,-16,-79,-81,-53,-55,-50
-26,54,81,-54,-14,67,-10,-74,-71,-59,-62,-60
-28,47,73,-51,-10,60,-7,-67,-65,-64,-65,-62
-30,42,71,-52,-7,56,-3,-58,-57,-62,-58,-54
-32,43,75,-52,-5,57,4,-42,-45,-47,-44,-40
-21,50,72,-48,-13,60,8,-27,-29,-28,-25,-21
-8,59,66,-37,-27,64,14,-9,-11,-6,-2,-3
1,60,61,-31,-30,61,20,2,0,9,13,9
9,60,52,-22,-34,56,22,9,8,20,23,10
9,49,43,-16,-29,45,22,9,9,20,21,6
8,38,30,-11,-23,36,20,9,5,12,12,-4
6,29,24,-8,-18,26,17,2,1,4,5,-16
4,21,16,-7,-12,20,14,-3,-2,-1,-2,-22
3,31,28,-13,-18,30,18,6,3,6,8,-9
0,31,31,-16,-17,32,19,8,5,9,12,-6
0,32,32,-17,-17,33,19,11,7,13,17,-2
2,36,33,-17,-21,35,22,14,10,17,22,2
7,40,32,-14,-25,37,24,16,12,20,25,4
11,43,31,-12,-28,38,26,17,13,20,26,4
13,45,31,-11,-31,39,28,17,14,20,26,3
16,47,31,-9,-33,39,29,16,14,18,24,2
18,48,29,-7,-35,39,30,14,14,16,23,2
20,49,27,-5,-36,38,30,14,14,16,22,3
22,49,25,-2,-37,37,29,14,14,17,24,6
25,49,22,1,-38,35,29,15,15,19,26,10
30,50,18,5,-41,34,29,16,16,21,29,12
33,50,16,8,-43,33,29,17,17,24,31,15
34,51,14,9,-44,33,28,18,19,26,33,17
35,51,14,10,-44,32,29,19,21,27,33,18
34,50,14,9,-43,32,29,21,22,28,34,18
33,49,14,9,-42,31,29,22,23,29,33,18
32,47,13,8,-41,30,28,23,23,29,33,18
32,46,12,9,-40,29,27,23,23,30,33,19
34,46,10,11,-41,28,26,23,24,31,33,20
34,46,10,11,-42,28,25,23,24,32,34,22
35,48,11,11,-43,30,24,23,25,33,35,23
33,48,13,9,-42,31,23,24,26,35,36,24
28,46,16,5,-39,31,23,24,27,36,37,25
25,45,18,3,-37,32,23,24,28,38,38,25
24,44,19,2,-36,32,23,26,29,39,40,27
25,45,19,2,-37,33,24,28,30,40,41,28
27,48,20,3,-39,34,25,30,32,41,42,29
29,51,20,3,-41,36,26,32,33,42,43,30
30,53,21,4,-43,38,28,34,35,43,44,30
31,55,23,3,-44,39,30,35,36,45,45,31
31,57,24,2,-45,41,31,37,37,47,47,32
32,59,26,2,-47,43,34,39,40,49,49,33
32,62,29,0,-49,46,36,40,42,51,51,35
33,66,31,0,-51,49,38,41,43,53,53,36
35,70,34,0,-54,52,39,42,45,54,55,37
38,74,35,0,-57,55,39,42,45,55,56,37
42,77,34,3,-61,56,38,42,45,55,57,36
45,78,33,4,-63,56,36,42,45,55,58,35
46,79,32,6,-64,56,35,42,45,54,58,35
46,78,31,6,-63,55,32,42,45,54,58,34
43,75,32,5,-61,54,29,42,45,54,58,34
41,73,32,3,-58,53,26,42,45,54,58,34
38,71,33,1,-55,53,23,42,45,54,58,34
37,71,35,0,-55,54,22,44,46,55,59,35
39,75,36,0,-58,56,22,46,48,57,61,38
42,78,37,1,-61,59,22,48,50,59,63,41
44,81,38,2,-64,61,23,51,53,62,65,45
45,83,38,2,-65,62,24,53,55,65,67,48
44,83,39,1,-65,62,24,55,58,67,69,50
44,84,40,1,-66,63,25,57,60,69,71,54
46,87,41,2,-68,65,26,60,63,71,73,57
50,92,41,3,-72,67,27,63,66,74,76,61
56,98,42,6,-78,71,28,67,70,78,81,65
61,103,42,9,-83,73,28,70,73,82,85,69
66,108,42,11,-88,75,27,73,77,86,91,73
69,111,42,12,-91,77,25,75,80,90,95,76
69,113,44,11,-92,79,24,77,82,93,98,79
70,116,46,11,-94,81,23,79,85,95,100,81
73,120,47,12,-97,84,22,80,86,96,102,81
77,125,47,14,-102,86,21,83,88,98,104,82
85,131,46,18,-109,89,21,85,90,99,105,83
90,137,46,21,-114,91,21,87,92,101,107,84
93,140,47,22,-117,93,21,89,94,102,109,86
95,142,47,23,-119,94,20,90,95,103,110,87
96,142,46,24,-119,94,19,91,96,103,110,87
96,142,46,24,-120,94,19,92,96,104,110,87
98,145,46,25,-122,95,19,94,98,104,109,87
99,147,47,25,-124,97,19,96,99,104,108,87
100,150,48,25,-126,99,18,97,100,105,108,87
102,153,49,25,-129,101,17,98,100,105,108,88
105,156,49,26,-132,102,16,98,101,105,109,89
108,160,50,28,-135,105,16,100,102,106,110,92
112,165,52,28,-139,108,17,102,103,108,112,96
