1,2,3,4,5,6,7,8,9,10,11,12
25,35,11,7,-30,22,29,162,-20,43,-36,36
30,36,6,12,-33,20,28,152,-17,42,-42,36
36,36,1,18,-36,18,29,141,-13,40,-49,35
42,38,-4,23,-40,16,29,129,-9,39,-56,34
48,40,-8,28,-44,15,30,117,-4,39,-62,33
53,42,-10,32,-48,15,32,105,3,39,-66,33
55,45,-10,33,-51,16,35,94,10,40,-70,34
55,47,-8,32,-52,18,38,85,18,41,-72,35
52,48,-4,28,-51,21,40,76,27,43,-73,37
46,48,1,23,-48,24,42,68,35,46,-74,39
40,48,7,17,-44,26,43,60,43,49,-74,41
35,47,12,12,-41,28,43,52,50,51,-74,43
32,46,14,9,-39,28,43,43,56,53,-75,44
31,44,13,9,-38,27,41,35,60,54,-76,44
32,42,10,11,-38,25,39,26,64,54,-78,44
34,40,6,13,-37,22,37,18,66,54,-80,43
35,37,2,16,-37,19,36,10,68,53,-83,41
37,36,-1,18,-37,17,35,3,69,51,-86,40
38,36,-3,20,-38,16,34,-3,71,50,-88,39
40,37,-3,21,-39,16,35,-8,72,48,-91,38
40,38,-3,21,-40,17,36,-13,74,47,-93,38
40,39,-1,20,-40,18,37,-16,76,46,-94,39
38,40,2,18,-40,20,38,-19,78,45,-95,41
35,41,5,15,-39,22,39,-22,80,45,-96,42
32,41,8,12,-37,24,39,-25,81,45,-97,44
30,41,10,10,-36,25,39,-28,82,44,-98,45
29,42,11,9,-36,26,38,-31,83,44,-99,46
30,42,11,9,-36,26,36,-33,84,43,-100,47
31,43,10,11,-37,26,35,-35,85,43,-100,47
33,43,8,12,-38,25,33,-37,86,42,-101,47
34,42,6,14,-39,24,32,-39,87,42,-101,46
35,41,5,15,-38,23,31,-41,87,42,-102,45
35,39,3,16,-37,22,30,-43,87,42,-103,44
34,37,2,16,-36,20,30,-45,86,41,-103,42
33,35,2,15,-34,19,30,-47,86,41,-104,41
30,34,3,13,-32,19,30,-49,85,41,-104,40
27,33,6,10,-30,20,31,-50,86,42,-103,41
24,33,9,7,-29,21,32,-51,87,44,-102,42
21,34,13,3,-28,24,33,-51,88,46,-101,44
19,35,17,1,-28,26,34,-52,89,48,-99,46
18,36,19,-1,-28,27,34,-53,90,50,-98,47
18,37,19,-1,-29,28,33,-54,90,51,-97,47
20,38,19,0,-30,28,31,-56,89,51,-98,46
22,39,17,2,-32,27,28,-59,87,50,-99,44
25,40,14,5,-34,26,25,-61,85,48,-100,42
28,40,12,8,-35,26,22,-63,82,45,-102,39
30,41,10,10,-37,25,20,-66,79,42,-104,37
33,42,8,12,-38,25,18,-68,77,40,-106,35
34,42,7,13,-39,25,17,-70,76,38,-107,34
34,43,7,13,-40,25,17,-72,75,37,-107,33
34,44,9,12,-40,26,18,-73,74,37,-107,32
32,45,12,10,-40,28,19,-74,75,37,-105,32
31,47,16,7,-40,31,19,-73,75,37,-103,32
30,50,19,5,-42,34,20,-71,76,38,-100,33
32,54,21,5,-44,37,20,-68,77,40,-98,34
35,58,22,6,-48,40,20,-65,77,41,-96,35
40,62,21,9,-53,41,20,-63,77,42,-95,36
46,66,20,13,-57,42,20,-61,77,42,-94,36
51,69,18,17,-61,43,20,-60,76,41,-93,36
55,71,16,20,-64,43,20,-59,76,40,-93,35
58,73,15,22,-67,44,20,-58,76,38,-93,34
60,75,15,23,-69,45,21,-56,76,37,-92,34
60,77,17,22,-70,47,21,-55,76,37,-91,34
60,80,19,21,-71,50,21,-53,77,37,-90,34
59,82,23,18,-71,53,21,-50,77,38,-88,35
57,85,29,14,-72,57,22,-48,77,40,-86,36
55,89,34,10,-73,62,23,-46,78,43,-85,37
53,93,40,7,-74,67,24,-43,79,45,-83,39
52,98,46,3,-76,72,25,-39,80,48,-81,41
52,103,51,0,-78,78,26,-35,81,51,-80,44
51,108,57,-3,-80,83,26,-32,82,53,-78,47
51,114,63,-6,-83,88,26,-29,83,56,-76,50
51,119,68,-9,-85,94,25,-27,84,59,-74,53
51,124,73,-11,-88,99,23,-28,84,62,-72,56
52,129,77,-12,-91,103,20,-30,84,64,-70,57
54,134,79,-12,-95,106,15,-33,82,66,-68,58
57,138,80,-11,-98,108,10,-37,80,66,-66,57
61,141,80,-9,-101,110,4,-42,76,65,-64,55
64,143,79,-7,-104,110,-3,-47,72,63,-63,54
67,146,78,-5,-107,111,-9,-52,68,60,-61,52
70,148,78,-4,-110,112,-15,-56,64,58,-59,51
72,151,78,-3,-112,114,-21,-59,61,56,-56,51
74,154,79,-2,-115,116,-25,-60,59,54,-52,53
76,157,81,-3,-118,119,-28,-60,58,54,-47,55
77,161,83,-3,-120,121,-30,-58,58,54,-41,59
78,163,84,-3,-122,124,-30,-55,59,55,-35,62
79,165,86,-4,-123,125,-30,-51,60,56,-29,66
79,164,86,-4,-123,125,-30,-47,61,57,-23,68
77,161,85,-5,-121,123,-29,-43,62,58,-18,70
74,157,83,-5,-117,120,-28,-40,61,57,-14,71
71,150,80,-6,-112,115,-27,-37,60,56,-12,70
67,142,76,-5,-106,109,-25,-35,57,54,-10,68
63,132,69,-4,-99,101,-24,-35,54,50,-10,65
61,121,61,-1,-92,91,-22,-35,50,46,-11,60
59,110,51,3,-86,81,-21,-37,45,40,-13,54
58,99,42,7,-79,70,-20,-39,39,33,-15,47
56,89,33,11,-73,61,-19,-41,34,26,-18,40
54,80,26,14,-68,52,-17,-42,28,19,-21,33
52,72,20,16,-62,45,-16,-42,23,13,-23,25
48,64,15,16,-57,39,-15,-42,18,6,-25,18
44,56,12,16,-51,34,-14,-42,13,0,-27,10
40,50,9,16,-46,29,-14,-42,8,-5,-29,3
36,44,7,15,-41,25,-14,-41,5,-9,-30,-2
33,39,6,14,-37,23,-13,-40,2,-12,-31,-6
30,36,6,12,-34,21,-12,-39,0,-13,-31,-8
28,35,6,11,-32,21,-11,-37,0,-13,-30,-8
26,34,7,9,-31,21,-10,-34,0,-12,-29,-7
25,34,8,8,-30,21,-9,-32,0,-11,-26,-5
24,33,8,8,-29,20,-8,-30,1,-9,-24,-3
23,31,7,8,-28,19,-6,-28,1,-7,-21,-2
22,28,6,8,-25,17,-5,-27,2,-5,-18,-1
20,24,4,8,-23,14,-4,-25,1,-4,-15,-1
18,20,1,8,-20,11,-3,-23,1,-3,-12,-1
16,16,0,8,-17,8,-3,-20,0,-3,-10,-1
13,12,-1,7,-14,6,-2,-16,0,-2,-8,-1
10,9,-1,6,-11,4,-2,-12,-1,-2,-6,-1
10,6,-3,7,-8,2,-1,-8,-1,-1,-2,-1
5,3,0,3,-3,2,-1,-4,-1,-1,-1,0
0,0,0,0,0,0,0,0,0,0,0,0
1,-1,-1,2,1,-2,3,4,2,1,1,1
6,0,-6,6,-2,-4,6,10,3,2,1,1
12,2,-10,11,-6,-5,13,19,6,3,0,0
20,4,-15,17,-11,-6,18,27,7,3,-1,0
21,10,-11,16,-14,-2,42,51,21,7,0,-3
16,9,-6,11,-12,0,62,75,40,16,5,-4
5,3,-4,4,-4,-1,80,100,65,30,11,-4
13,6,-7,11,-9,-1,82,117,88,47,25,6
33,15,-17,27,-24,-2,74,126,112,68,35,25
56,34,-23,41,-44,4,63,138,145,104,71,56
86,59,-26,56,-72,16,47,147,186,150,120,101
127,96,-31,80,-112,31,18,138,229,206,181,157
183,143,-39,112,-162,51,-24,115,274,272,252,223
235,199,-36,137,-216,81,-92,76,312,346,336,304
287,262,-26,156,-274,117,-178,28,346,429,431,395
347,336,-12,179,-341,162,-268,-15,390,520,534,498
409,414,6,202,-412,210,-359,-55,441,619,645,608
466,488,22,223,-476,254,-454,-109,467,704,736,695
517,556,40,240,-536,297,-550,-174,480,781,815,767
544,576,33,257,-560,303,-623,-237,461,811,848,794
559,569,9,276,-564,288,-684,-295,422,808,850,790
554,536,-18,287,-544,258,-723,-364,343,750,799,741
537,484,-54,296,-511,215,-746,-439,232,648,707,657
487,434,-54,271,-460,189,-755,-517,89,503,572,537
411,376,-36,225,-393,170,-747,-596,-82,320,400,386
339,320,-17,178,-329,150,-705,-630,-205,153,251,259
259,264,6,127,-260,134,-639,-636,-301,-10,111,143
191,209,18,87,-200,113,-567,-608,-352,-122,11,57
129,162,34,48,-145,97,-493,-557,-372,-193,-58,-6
79,129,51,15,-103,89,-417,-495,-365,-232,-100,-47
41,112,72,-16,-76,92,-343,-418,-329,-235,-112,-62
18,106,90,-35,-62,98,-274,-339,-275,-212,-100,-57
13,108,96,-41,-61,101,-209,-253,-203,-164,-65,-33
16,108,93,-38,-61,100,-157,-175,-130,-108,-23,-2
23,101,77,-27,-62,89,-113,-107,-66,-52,17,25
37,84,47,-4,-60,65,-87,-58,-21,-8,48,38
47,58,10,21,-52,32,-72,-32,-1,18,63,34
50,34,-16,34,-42,8,-56,-21,1,20,60,22
46,19,-27,36,-30,-5,-42,-22,-9,1,43,6
37,11,-26,31,-23,-8,-30,-24,-24,-18,26,-11
28,15,-14,22,-20,-1,-21,-22,-33,-31,16,-20
18,18,-1,10,-17,8,-14,-16,-34,-43,8,-21
13,23,11,1,-17,17,-9,-3,-25,-45,7,-14
19,27,7,6,-23,17,-2,13,2,-15,33,4
19,26,7,6,-23,16,4,23,14,-4,42,11
19,24,4,7,-22,14,8,30,23,7,51,17
19,19,0,10,-20,9,12,33,28,14,57,20
18,15,-3,11,-17,5,13,33,27,15,57,19
17,12,-7,12,-15,2,13,30,23,13,56,17
19,9,-11,15,-14,-2,11,28,18,9,52,12
21,7,-15,18,-15,-5,9,26,14,6,50,9
24,7,-17,20,-16,-6,9,26,13,5,49,6
26,7,-19,22,-17,-7,9,27,14,7,50,5
24,6,-19,21,-16,-7,11,30,18,11,54,5
22,3,-19,21,-13,-9,14,32,22,14,58,4
21,0,-22,21,-11,-12,16,34,23,16,60,1
20,-4,-25,23,-9,-15,18,34,23,16,60,-2
21,-5,-27,24,-9,-17,19,33,21,14,58,-5
21,-5,-28,25,-9,-17,20,31,18,12,56,-7
21,-4,-26,24,-9,-15,20,30,17,11,57,-7
19,-2,-22,21,-10,-12,19,30,18,13,59,-5
17,0,-18,17,-9,-9,18,31,22,17,64,0
16,3,-15,16,-10,-6,17,33,28,23,70,5
19,5,-15,17,-13,-5,16,35,34,29,75,10
25,8,-18,21,-17,-5,16,37,39,33,78,14
34,11,-24,29,-23,-7,15,38,41,35,78,16
42,13,-30,36,-28,-9,14,38,41,35,77,16
46,13,-34,39,-30,-11,14,38,39,33,74,14
47,13,-34,40,-31,-11,14,37,36,30,70,11
47,14,-33,39,-31,-10,15,35,34,27,67,6
47,17,-31,38,-33,-7,16,34,33,25,65,2
50,21,-30,40,-37,-5,17,34,32,23,64,0
54,26,-29,41,-42,-2,17,35,33,22,65,0
56,30,-27,41,-45,1,17,36,36,24,67,2
56,33,-24,40,-46,4,17,38,38,27,69,5
53,35,-19,35,-45,7,17,40,41,29,72,8
49,35,-15,31,-43,10,17,41,43,32,75,10
47,36,-12,29,-42,12,16,41,44,34,77,12
46,36,-10,27,-42,13,15,42,45,36,79,14
46,37,-10,27,-42,13,16,43,47,37,81,16
46,37,-10,28,-43,13,17,46,50,39,83,19
47,38,-10,28,-43,13,18,49,54,42,86,22
49,38,-11,30,-44,12,19,52,57,46,89,25
54,38,-16,35,-47,10,18,54,60,50,92,26
60,39,-22,41,-50,8,17,55,62,54,94,25
67,39,-28,47,-54,5,18,57,63,56,95,24
71,39,-32,52,-56,3,19,58,64,58,95,23
73,40,-34,53,-57,2,21,61,65,59,95,22
73,40,-33,53,-57,3,23,62,66,59,94,22
71,41,-31,51,-57,4,22,64,65,58,92,23
70,43,-28,49,-57,6,20,65,65,58,91,24
68,44,-25,47,-57,8,17,67,65,58,90,27
68,46,-22,45,-58,11,15,69,67,59,91,31
69,49,-20,45,-60,13,14,71,71,62,93,35
72,53,-18,45,-63,16,15,74,76,65,97,39
77,59,-18,48,-69,19,17,78,83,70,102,45
81,64,-17,49,-73,22,20,83,91,77,109,52
81,67,-14,48,-75,25,24,88,99,84,116,61
78,68,-9,44,-74,28,27,94,108,92,124,70
72,68,-4,38,-70,31,30,101,116,100,132,81
67,67,0,33,-67,32,32,107,124,107,138,91
64,65,2,31,-65,32,32,112,132,114,144,99
65,66,1,32,-66,32,31,117,138,120,149,106
69,68,-1,35,-69,33,29,120,142,125,153,110
75,72,-3,39,-74,34,26,122,146,130,157,113
82,78,-4,43,-81,36,22,124,150,134,161,116
89,84,-6,48,-87,39,19,127,155,138,164,117
95,89,-6,51,-92,41,17,131,160,144,168,120
99,94,-5,53,-98,44,16,136,165,149,173,122
103,101,-2,53,-103,49,15,140,170,154,177,124
106,108,2,52,-108,54,15,144,175,160,181,127
108,115,6,51,-112,59,17,148,180,165,186,130
109,120,10,50,-116,64,20,152,185,170,192,134
109,123,14,47,-117,68,24,157,192,176,198,139
109,127,18,45,-119,72,28,161,198,182,206,145
111,132,22,44,-122,77,30,164,205,188,212,152
115,139,24,45,-127,81,32,168,212,196,219,160
122,146,24,49,-134,85,33,171,219,204,227,167
131,153,22,55,-142,86,34,174,227,212,234,173
142,159,16,63,-151,86,35,178,234,221,241,177
155,164,9,73,-159,85,35,181,240,228,247,179
169,169,-1,85,-169,83,32,182,244,234,250,178
183,175,-9,96,-179,82,29,182,247,238,252,178
196,181,-15,106,-188,82,27,182,249,242,254,178
206,188,-19,113,-197,84,27,183,252,247,256,180
212,194,-19,116,-204,87,28,184,255,252,260,183
216,200,-16,116,-208,91,30,186,258,258,265,187
215,205,-10,113,-211,97,32,187,261,264,270,191
212,210,-2,107,-212,103,33,189,264,270,276,196
207,214,7,99,-211,110,35,190,267,276,282,200
200,216,17,91,-208,116,36,190,269,281,286,204
192,217,25,83,-204,120,38,190,269,284,289,206
182,216,34,74,-200,124,39,189,267,283,289,207
172,214,42,65,-194,127,40,188,263,280,286,207
162,212,50,56,-187,130,41,187,258,275,282,205
151,210,58,46,-181,133,40,186,253,270,278,203
144,207,62,41,-176,134,38,182,246,264,272,199
141,204,61,40,-173,132,35,177,239,255,264,192
143,199,55,43,-172,127,33,169,229,244,253,182
148,193,44,52,-171,118,31,158,216,229,239,168
155,187,31,62,-172,109,31,146,202,213,224,153
161,181,21,70,-172,101,31,134,187,195,208,138
163,176,13,75,-170,94,32,122,172,178,192,123
159,169,11,74,-165,90,34,111,159,163,177,110
150,161,11,70,-156,86,36,101,146,149,163,98
138,152,14,62,-145,82,38,90,134,137,151,87
124,142,18,52,-133,79,39,80,123,126,140,78
109,133,24,42,-121,78,40,73,113,117,131,72
93,125,31,31,-109,77,40,68,106,110,124,68
79,118,38,20,-98,77,39,66,102,106,121,67
65,111,45,10,-89,78,39,65,99,104,120,68
54,105,50,2,-80,77,38,65,97,102,118,69
44,98,52,-4,-72,75,37,64,94,100,117,69
36,90,53,-9,-63,71,37,63,91,96,114,68
30,81,50,-10,-56,65,35,62,86,91,110,65
30,74,44,-8,-52,58,32,59,80,84,105,61
34,67,34,-1,-51,50,27,55,72,75,98,55
42,64,22,10,-54,42,22,50,64,66,90,49
52,61,10,20,-57,35,18,45,56,57,81,42
60,60,0,30,-61,30,16,41,48,48,73,36
66,60,-6,36,-64,26,14,39,40,40,65,31
70,60,-10,40,-65,24,13,37,34,33,57,26
71,60,-11,41,-66,24,12,36,29,28,52,23
72,62,-10,41,-67,25,11,35,26,25,49,21
71,64,-8,39,-68,27,11,35,26,24,48,21
70,66,-4,36,-68,30,12,35,26,24,49,21
66,68,1,32,-67,33,13,36,28,25,50,23
61,68,7,27,-65,37,14,37,30,26,52,24
55,68,13,21,-62,40,15,38,32,27,54,26
48,67,20,14,-58,43,16,38,33,28,55,28
41,66,25,8,-54,45,16,37,34,27,56,29
35,64,29,3,-50,46,16,36,34,27,56,29
31,62,31,0,-47,46,14,34,32,25,55,29
28,60,31,-1,-45,45,12,31,30,23,53,28
28,58,30,-1,-44,43,9,28,27,20,51,26
30,57,27,2,-45,41,6,25,24,17,48,23
35,57,22,6,-47,39,3,21,21,14,45,20
42,58,16,13,-51,36,0,18,18,10,41,16
52,59,8,22,-56,33,-2,15,14,6,37,11
63,62,-1,32,-63,30,-4,13,10,2,33,6
74,64,-10,42,-70,26,-6,11,7,-2,29,2
84,66,-17,50,-75,24,-7,9,4,-5,26,-2
90,68,-21,56,-79,22,-8,9,2,-7,23,-4
92,69,-23,58,-81,22,-8,9,1,-8,21,-5
91,69,-21,57,-80,23,-8,10,1,-8,20,-5
87,69,-18,53,-78,25,-7,12,2,-6,20,-3
80,68,-13,47,-75,27,-6,15,4,-3,22,0
73,67,-7,40,-70,29,-4,18,7,1,24,3
65,65,-1,33,-66,31,-3,20,11,6,27,6
57,63,4,26,-61,33,-2,23,16,11,31,9
51,61,9,21,-57,34,-1,25,21,15,34,12
47,59,11,18,-54,34,0,26,25,19,37,14
46,58,11,17,-53,34,0,28,28,21,39,16
47,57,10,19,-53,32,0,29,30,22,40,16
51,57,6,22,-55,30,0,30,30,22,40,15
56,58,1,27,-57,28,0,31,30,20,39,13
60,58,-3,32,-60,26,1,32,29,19,37,11
63,58,-5,34,-61,26,2,33,29,18,36,9
61,58,-3,33,-60,26,3,35,29,18,35,9
57,57,1,28,-58,29,6,37,30,19,36,10
49,57,8,20,-54,32,9,40,31,22,37,12
40,57,17,12,-50,36,13,44,34,25,40,16
32,58,26,3,-46,41,16,47,36,30,43,20
25,59,33,-4,-43,45,20,50,39,35,47,25
21,60,38,-8,-41,48,23,52,42,39,51,29
21,61,40,-10,-41,50,24,53,44,42,54,32
22,62,39,-9,-42,49,24,53,45,44,56,34
25,62,36,-6,-43,48,22,52,44,44,56,35
30,61,31,-1,-45,45,20,50,43,43,56,34
35,61,26,4,-47,42,17,47,40,41,54,32
41,60,20,10,-50,38,13,44,36,38,51,29
46,59,13,16,-53,35,10,41,32,34,48,24
51,59,8,22,-55,32,7,38,28,30,44,20
54,58,4,25,-56,30,4,36,25,27,41,15
55,57,2,27,-57,29,3,35,23,23,38,12
55,57,2,27,-57,29,2,34,22,21,36,10
54,57,3,26,-56,30,2,34,22,20,35,10
53,58,5,24,-56,31,3,35,23,20,35,11
52,59,6,23,-56,32,4,35,25,21,36,13
52,60,8,22,-57,33,6,36,28,23,37,15
52,62,9,22,-58,35,8,36,31,25,38,17
52,63,10,21,-58,36,9,37,33,27,40,19
52,65,12,20,-59,37,10,36,35,29,41,21
52,66,13,19,-59,38,9,36,37,31,42,22
51,67,15,18,-59,39,8,35,37,32,43,23
51,67,15,18,-60,40,7,33,37,32,43,24
52,67,14,19,-60,39,6,31,35,32,42,24
54,66,11,22,-61,37,4,29,33,31,40,22
58,64,5,26,-62,34,2,26,31,29,38,20
63,63,-1,32,-64,30,0,23,28,26,36,17
68,62,-7,37,-65,26,-2,20,25,23,33,14
72,60,-12,42,-66,23,-3,17,23,20,30,11
73,58,-16,44,-66,20,-5,14,21,17,27,8
73,56,-17,45,-64,18,-6,12,19,14,25,6
70,53,-17,43,-61,17,-7,11,17,12,23,4
65,51,-14,39,-58,17,-8,11,16,11,22,3
60,50,-10,34,-55,19,-8,11,16,10,21,3
54,50,-5,29,-52,21,-7,12,15,10,21,4
49,50,1,24,-50,24,-7,13,15,11,22,5
45,51,6,20,-49,27,-6,13,15,11,22,7
41,52,11,16,-48,31,-5,14,15,12,23,9
38,54,16,12,-47,34,-3,15,15,14,24,12
36,56,21,8,-47,38,-1,15,16,15,26,15
34,58,25,5,-47,41,1,16,16,17,27,17
34,61,28,4,-48,43,3,16,17,18,28,19
35,63,29,3,-50,45,4,16,17,18,29,20
37,65,29,4,-52,46,5,15,17,18,30,20
38,66,29,5,-53,46,6,15,16,17,30,20
38,67,30,5,-54,47,6,15,16,16,30,20
38,69,32,3,-54,49,7,15,16,16,30,21
36,71,35,1,-54,52,9,16,17,17,30,23
35,73,39,-2,-55,55,11,17,19,19,31,25
34,76,42,-4,-56,58,12,19,21,22,32,28
36,79,43,-4,-58,60,13,20,23,25,34,31
41,83,42,-1,-62,62,13,20,24,27,36,33
48,88,40,4,-68,63,12,20,24,29,38,34
55,93,37,9,-74,64,11,19,24,29,39,35
62,98,36,13,-80,66,10,19,24,30,40,35
66,102,36,15,-84,68,10,19,25,31,40,35
69,105,36,17,-87,70,10,19,26,31,40,35
72,108,37,17,-90,72,10,20,28,31,40,34
74,111,37,18,-92,73,11,20,29,31,40,33
76,113,38,19,-94,75,11,19,30,30,39,31
78,116,39,19,-97,77,10,19,31,30,39,30
79,120,41,19,-99,79,8,18,31,30,38,28
80,124,44,18,-102,82,5,16,31,29,38,28
81,128,47,17,-105,86,1,14,31,29,38,28
83,133,50,17,-109,89,-4,12,30,29,38,28
86,138,53,17,-113,93,-9,9,29,29,39,29
89,144,55,17,-117,98,-14,6,28,28,40,30
91,150,59,17,-121,102,-19,2,26,29,41,31
93,155,63,16,-125,107,-23,-1,25,30,42,33
94,161,67,14,-128,112,-27,-5,24,31,43,35
94,166,72,12,-131,117,-29,-8,23,33,44,38
95,170,76,10,-133,122,-31,-10,22,35,46,41
95,174,79,8,-134,125,-33,-12,21,37,47,44
95,176,81,7,-136,128,-34,-12,21,39,48,48
96,178,82,7,-137,129,-34,-12,21,40,50,51
97,178,81,8,-137,128,-35,-12,21,42,50,54
98,176,77,11,-137,126,-36,-11,20,43,51,56
100,172,72,15,-136,121,-37,-11,19,43,50,56
103,166,63,20,-135,114,-38,-11,16,41,49,55
105,159,54,26,-133,106,-39,-12,13,38,46,52
106,151,45,31,-129,98,-38,-13,9,34,42,47
104,142,38,33,-124,90,-37,-13,6,30,38,42
99,133,34,33,-116,83,-34,-14,4,26,34,37
91,123,32,30,-107,77,-30,-14,2,22,29,32
82,112,31,26,-98,71,-27,-15,1,19,25,27
73,102,30,22,-88,65,-24,-17,-1,15,21,22
64,92,28,18,-79,60,-23,-19,-2,11,17,18
56,83,27,15,-70,54,-23,-22,-4,7,13,13
50,75,25,13,-63,49,-24,-25,-5,3,9,10
45,67,22,11,-56,44,-26,-27,-7,-1,5,7
40,60,19,11,-50,38,-27,-29,-8,-4,2,4
37,53,15,11,-45,33,-27,-29,-10,-7,-2,3
35,46,11,13,-41,27,-27,-30,-11,-9,-5,1
34,40,6,14,-37,22,-26,-30,-12,-11,-7,0
33,34,1,16,-34,17,-26,-30,-14,-12,-10,-2
33,28,-4,19,-31,11,-25,-30,-16,-13,-12,-4
34,23,-10,22,-29,6,-24,-30,-19,-15,-14,-6
35,19,-15,25,-27,1,-23,-30,-22,-17,-16,-9
36,16,-19,27,-26,-2,-20,-29,-25,-19,-18,-11
35,14,-20,28,-25,-4,-17,-28,-27,-20,-19,-11
32,13,-18,25,-23,-3,-14,-26,-27,-20,-19,-11
27,13,-14,20,-20,-1,-10,-23,-26,-19,-18,-10
20,12,-8,13,-16,2,-7,-20,-24,-17,-16,-8
11,11,-1,6,-11,4,-4,-16,-21,-14,-13,-6
4,9,4,0,-7,6,-2,-13,-18,-11,-11,-4
-1,7,7,-4,-4,6,-1,-10,-14,-8,-8,-2
-3,5,7,-5,-2,5,0,-7,-11,-5,-6,-2
-11,4,16,-13,5,9,3,-3,-7,0,-2,2
-6,2,10,-7,2,5,1,-1,-3,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
6,-4,-9,8,0,-6,3,6,7,1,2,-1
13,-9,-21,18,-1,-15,10,14,13,1,2,-4
23,-12,-34,29,-4,-23,21,28,22,2,3,-7
35,-17,-50,44,-8,-33,37,41,30,2,2,-13
49,-14,-61,55,-16,-38,50,67,49,11,9,-9
54,-8,-62,59,-23,-35,63,96,72,26,23,2
71,11,-57,66,-41,-23,68,119,101,53,47,27
94,42,-50,73,-68,-4,67,137,135,88,80,60
105,64,-42,75,-84,11,53,144,171,137,125,103
119,82,-35,77,-100,23,27,147,206,194,179,154
156,116,-38,98,-136,38,-21,123,241,252,242,214
211,162,-46,130,-186,56,-82,84,275,314,312,282
272,222,-49,161,-247,86,-164,36,310,387,391,368
334,289,-44,190,-311,121,-256,-19,348,469,479,463
402,369,-32,218,-385,168,-354,-76,383,554,570,557
470,457,-12,242,-463,222,-453,-136,419,642,672,652
527,523,-2,266,-523,260,-544,-197,438,713,753,726
575,579,4,287,-576,290,-631,-260,447,772,820,785
595,583,-11,304,-588,284,-693,-322,413,773,827,790
599,556,-42,322,-577,255,-740,-382,349,737,791,762
581,517,-62,322,-549,226,-773,-455,251,657,718,694
547,466,-80,314,-506,192,-795,-535,126,540,612,593
483,412,-68,276,-447,172,-787,-601,-18,383,471,467
390,347,-41,217,-369,153,-755,-659,-180,191,303,317
314,287,-26,172,-300,131,-700,-666,-283,45,167,201
243,232,-11,128,-237,110,-627,-642,-349,-77,52,107
183,180,-2,94,-181,88,-554,-602,-385,-163,-37,28
134,142,8,64,-139,75,-479,-544,-390,-219,-98,-31
98,121,23,38,-110,71,-402,-478,-373,-252,-135,-70
79,116,37,23,-98,75,-323,-399,-329,-255,-146,-84
43,114,74,-15,-79,94,-248,-309,-259,-215,-120,-63
-2,113,117,-59,-55,113,-177,-211,-170,-145,-69,-22
-16,109,126,-71,-46,116,-129,-131,-92,-79,-22,14
-18,96,115,-66,-38,105,-94,-70,-33,-23,15,40
-10,76,87,-48,-33,81,-69,-36,1,11,35,51
-4,52,57,-28,-24,53,-53,-24,13,21,39,49
-6,29,35,-20,-10,30,-41,-21,6,15,27,37
-11,11,23,-17,1,15,-34,-25,-9,0,8,19
-17,0,19,-18,10,8,-29,-26,-24,-17,-10,7
-15,-1,16,-15,8,7,-26,-21,-34,-32,-24,-1
14,6,-7,10,-10,-2,-33,-15,-17,-19,-9,2
29,8,-21,25,-19,-8,-32,-8,-11,-15,-6,1
43,10,-33,38,-27,-13,-29,1,-3,-9,-1,1
52,10,-42,47,-32,-17,-24,8,5,-2,5,1
51,8,-44,47,-30,-19,-17,13,8,1,6,0
45,5,-41,43,-26,-19,-10,16,8,1,5,-2
38,2,-36,37,-21,-18,-5,15,6,-3,2,-6
32,1,-31,31,-17,-16,0,14,4,-8,-2,-9
31,3,-28,29,-17,-14,4,12,2,-12,-4,-11
34,5,-28,30,-20,-12,7,11,2,-13,-5,-12
38,8,-30,33,-23,-12,8,11,4,-12,-5,-12
44,9,-34,39,-27,-14,8,10,6,-10,-5,-12
49,8,-41,45,-29,-18,7,9,8,-8,-7,-13
53,6,-47,50,-30,-22,6,7,8,-7,-9,-14
56,4,-52,54,-31,-25,7,6,7,-7,-11,-15
56,2,-54,55,-30,-27,9,6,5,-7,-13,-16
55,3,-52,53,-30,-26,11,8,3,-6,-14,-13
51,4,-47,49,-29,-23,14,11,2,-4,-13,-9
47,5,-42,45,-27,-20,17,14,3,-1,-10,-4
44,7,-37,41,-26,-17,18,18,7,4,-6,1
43,8,-35,39,-26,-15,18,23,12,9,0,5
43,8,-35,39,-26,-15,18,27,18,15,7,9
45,7,-37,41,-27,-16,17,31,22,20,12,11
45,6,-39,42,-26,-18,16,33,26,24,16,12
43,3,-39,41,-24,-19,14,34,29,26,18,12
38,0,-37,37,-20,-19,14,35,31,26,19,11
29,-2,-31,30,-14,-17,14,35,33,25,20,10
20,-3,-22,21,-10,-13,16,36,36,24,20,10
11,-2,-11,11,-6,-7,19,39,40,24,22,11
2,1,1,0,-3,0,21,43,45,27,24,14
-8,3,13,-10,1,7,22,48,51,31,28,18
-17,4,22,-19,5,12,23,53,56,36,32,23
-23,3,26,-24,8,14,24,58,60,41,36,26
-24,1,26,-24,9,13,24,61,63,45,39,28
-18,1,19,-18,6,10,23,62,65,48,40,30
-9,2,11,-9,2,6,21,62,65,49,40,30
0,3,3,-1,-3,3,20,60,64,48,39,28
8,5,-3,6,-8,1,19,58,62,47,36,26
13,8,-5,9,-11,1,19,56,61,45,34,23
17,11,-5,12,-15,2,19,55,60,43,32,21
21,15,-5,14,-19,4,18,55,58,41,30,20
